system:index,cloud_area,cloud_percent,corrected_area,non_water_area,system:time_start,water_area,.geo
0,0.0051866901245117185,0.0011878834404726757,200.59359568752,236.03413528032542,2016-01-01T00:00:00,200.59359568752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0,0.0,173.51480087145865,263.1181167865086,2016-02-01T00:00:00,173.51480087145865,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.006915983459472655,0.001583935424880225,137.15859076220684,299.47432689576084,2016-03-01T00:00:00,137.1516747787474,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.02074292431640625,0.004750655179107538,143.98533414306453,292.6467190966222,2016-04-01T00:00:00,143.9654556370219,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,78.80110045480403,18.047448386960966,103.82437859692476,307.8091066793012,2016-05-01T00:00:00,50.02271052386548,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,344.3566533527928,78.86639770539078,184.6692304669103,91.79087912635273,2016-06-01T00:00:00,0.48538517883300736,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,320.84689162324923,73.4820666623601,191.05843628078446,86.63235198841116,2016-07-01T00:00:00,29.15367404632572,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,339.40906579538074,77.7332748103128,203.16850115563153,84.88332532978333,2016-08-01T00:00:00,12.340526532836904,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,436.63291765797715,100.0,227.64755480084904,0.0,2016-09-01T00:00:00,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,436.63291765797715,100.0,227.64755480084904,0.0,2016-10-01T00:00:00,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,252.20578624030344,57.76151454478358,146.18430143741773,148.45934112890995,2016-11-01T00:00:00,35.96779028872574,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.004318632080078125,9.890761565213395E-4,218.37603657985375,218.25342599867818,2016-12-01T00:00:00,218.3751730271804,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0,0.0,210.74318414022144,225.88973351771546,2017-01-01T00:00:00,210.74318414022144,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,8.635999145507812E-4,1.9778625926396496E-4,206.53245990362893,230.10045775432798,2017-02-01T00:00:00,206.53159630371437,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,21.90617701022187,5.017069516362304,128.7773818863095,301.5170231086334,2017-03-01T00:00:00,113.20971753912545,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.423715410605967,1.2421682358943649,152.92997681908952,281.76795564268065,2017-04-01T00:00:00,149.44124660467256,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,30.216280027206462,6.9202936391705165,168.17962787360227,246.7603794678784,2017-05-01T00:00:00,159.65625816284648,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,436.63291765797715,100.0,227.64755480084904,0.0,2017-06-01T00:00:00,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,185.1873194040395,42.41258776305125,196.75101425503703,174.43677117331782,2017-07-01T00:00:00,77.00882708056949,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-9999,0,-9999,-9999,2017-08-01T00:00:00,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,170.91083296199136,39.14291068083942,211.80225178631514,145.42994908180486,2017-09-01T00:00:00,120.2921356141457,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,436.34372920137673,99.93376851700586,227.64755480084904,0.2891884566054401,2017-10-01T00:00:00,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,375.2996676758007,85.95313190971358,222.12078306555964,57.326434235299246,2017-11-01T00:00:00,4.006815746887211,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.019001489624023434,0.004351822516255885,218.5907859496346,218.03867515917625,2017-12-01T00:00:00,218.5752410091439,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0,0.0,203.98749471607783,232.6454229418849,2018-01-01T00:00:00,203.98749471607783,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1.3090824404217876,0.29981304374474743,188.7409057668396,247.6100092022731,2018-02-01T00:00:00,187.7138260152521,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,20.9049186497109,4.787755985472377,172.78533693248986,259.98843290997286,2018-03-01T00:00:00,155.73956609826038,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,33.57430795923151,7.689367109406447,171.83272048186896,239.57997405045887,2018-04-01T00:00:00,163.4786356482514,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,7.662565869955422,1.754921711138163,173.64682964630327,255.82230990219236,2018-05-01T00:00:00,173.14804188580445,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-9999,0,-9999,-9999,2018-06-01T00:00:00,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,383.4475529815618,87.81920406694933,213.45904542505986,42.17912005925997,2018-07-01T00:00:00,11.006244617187239,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,-9999,0,-9999,-9999,2018-08-01T00:00:00,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,22.822637167126523,5.226962110311089,200.81873237745384,218.06409595674904,2018-09-01T00:00:00,195.746184534068,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,28.30569241848249,6.482720673079939,200.65052528477347,214.35824897304423,2018-10-01T00:00:00,193.96897626639947,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,431.0118839404863,98.71264087286494,226.48810914350162,5.6210337175467595,2018-11-01T00:00:00,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,8.641687011718749E-4,1.9791652581009693E-4,192.06082375181177,244.5712297374366,2018-12-01T00:00:00,192.06082375181177,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.0,0.0,186.6269497006491,250.0059679573068,2019-01-01T00:00:00,186.6269497006491,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.8901960250495375,0.66192811127302,159.3205376587439,277.2335402334911,2019-02-01T00:00:00,156.50918139940765,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,136.88735029641185,31.350671184079154,94.42551646309559,290.15366748048837,2019-03-01T00:00:00,9.591899881103572,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,219.62817084587223,50.300415283377774,175.37472649677846,163.33415042534682,2019-04-01T00:00:00,53.67059638671996,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,50.739420975147,11.620612858807453,156.14201287496675,268.06740054398557,2019-05-01T00:00:00,117.82609613882691,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,175.63700419855473,40.22532362897735,176.03780785898607,192.47730206455427,2019-06-01T00:00:00,68.51861139483646,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,184.6353000201217,42.28616133902329,176.1034028978085,185.78349312443868,2019-07-01T00:00:00,66.21412451338075,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,-9999,0,-9999,-9999,2019-08-01T00:00:00,-9999,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,93.06344589894312,21.313886822396917,196.3518979095203,207.56419549337352,2019-09-01T00:00:00,136.0052762656246,"{""type"":""MultiPoint"",""coordinates"":[]}"
